GEG	America/Los_Angeles	Spokane	Washington	Spokane International Airport
ALW	America/Los_Angeles	Walla Walla	Washington	Walla Walla Regional Airport
EAT	America/Los_Angeles	Wenatchee	Washington	Pangborn Memorial Airport
YKM	America/Los_Angeles	Yakima	Washington	Yakima Air Terminal
MKE	America/Chicago	Milwaukee	Wisconsin	General Mitchell International Airport
YYC	America/Edmonton	Calgary	Canada	Calgary International Airport
YEG	America/Edmonton	Edmonton	Canada	Edmonton International Airport
YLW	America/Vancouver	Kelowna	Canada	Kelowna International Airport
YVR	America/Vancouver	Vancouver	Canada	Vancouver International Airport
YYJ	America/Vancouver	Victoria	Canada	Victoria International Airport
LIP	America/Sao_Paulo	Liberia	Costa Rica	Daniel Oduber Quirós International Airport
SJO	America/Costa_Rica	San José	Costa Rica	Juan Santamaría International Airport
CUN	America/Cancun	Cancún	Mexico	Cancún International Airport
GDL	America/Mexico_City	Guadalajara	Mexico	Miguel Hidalgo y Costilla Guadalajara International Airport
LTO	America/Mazatlan	Loreto	Mexico	Loreto International Airport
SJD	America/Mazatlan	Los Cabos	Mexico	Los Cabos International Airport
ZLO	America/Mexico_City	Manzanillo	Mexico	Playa de Oro International Airport
MZT	America/Mazatlan	Mazatlán	Mexico	General Rafael Buelna International Airport
MEX	America/Mexico_City	Mexico City	Mexico	Aeropuerto Internacional Benito Juárez
PVR	America/Mexico_City	Puerto Vallarta	Mexico	Licenciado Gustavo Díaz Ordaz International Airport
ZIH	America/Mexico_City	Zihuatanejo	Mexico	Ixtapa-Zihuatanejo International Airport
DAL	America/Chicago	Dallas	Texas	Dallas Love Field
HAV	America/Havana	Havana	Cuba	José Martí International Airport
LGB	America/Los_Angeles	Long Beach	California	Long Beach Airport
MIA	America/New_York	Miami	Florida	Miami International Airport
YYZ	America/Toronto	Toronto	Canada	Toronto Pearson International Airport
RSW	America/New_York	Fort Myers	Florida	Southwest Florida International Airport
CVG	America/New_York	Cincinnati	Ohio	Cincinnati Northern Kentucky International Airport
MEM	America/Chicago	Memphis	Tennessee	Memphis International Airport
CLE	America/New_York	Cleveland	Ohio	Cleveland Hopkins International Airport
PIT	America/New_York	Pittsburgh	Pennsylvania	Pittsburgh International Airport
CMH	America/New_York	Columbus	Ohio	John Glenn Columbus International Airport
PBI	America/New_York	West Palm Beach	Florida	Palm Beach International Airport
BUF	America/New_York	Buffalo	New York	Buffalo Niagara International Airport
JAX	America/New_York	Jacksonville	Florida	Jacksonville International Airport
RIC	America/New_York	Richmond	Virginia	Richmond International Airport
SDF	America/New_York	Louisville	Kentucky	Louisville International Airport
BHM	America/Chicago	Birmingham	Alabama	Birmingham-Shuttlesworth International Airport
TUL	America/Chicago	Tulsa	Oklahoma	Tulsa International Airport
DSM	America/Chicago	Des Moines	Iowa	Des Moines International Airport
LIT	America/Chicago	Little Rock	Arkansas	Bill and Hillary Clinton National Airport
FAR	America/Chicago	Fargo	North Dakota	Hector International Airport
FSD	America/Chicago	Sioux Falls	South Dakota	Sioux Falls Regional Airport
BDL	America/New_York	Hartford	Connecticut	Bradley International Airport
ILM	America/New_York	Wilmington	Delaware	Wilmington International Airport
PWM	America/New_York	Portland	Maine	Portland International Jetport
JAN	America/Chicago	Jackson	Mississippi	Jackson-Medgar Wiley Evers International Airport
MHT	America/New_York	Manchester	New Hampshire	Manchester-Boston Regional Airport
PVD	America/New_York	Providence	Rhode Island	Theodore Francis Green State Airport
BTV	America/New_York	Burlington	Vermont	Burlington International Airport
CRW	America/New_York	Charleston	West Virginia	Yeager Airport
CYS	America/Denver	Cheyenne	Wyoming	Cheyenne Regional Airport
